Type,Module,Name,Documented,Documentation Files,Suggested Doc Path
Function,trim.forms.fields,choice,Yes,execute.md; forms/all-fields-form.md; templates/tags/link/readme.md,docs/trim/forms/fields.md
Function,trim.forms.fields,combo,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,date,Yes,models/fields.md; models/fields-auto.md; old/models.md; old/old r.md; forms/all-fields-form.md; recipes/todo-list.md,docs/trim/forms/fields.md
Function,trim.forms.fields,datetime,Yes,trim-beacon.md; models/fields.md; models/fields-auto.md; old/models.md; old/old r.md; forms/all-fields-form.md; research/trim-beacon.md,docs/trim/forms/fields.md
Function,trim.forms.fields,decimal,Yes,models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,duration,Yes,models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,email,Yes,account.md; README-4.md; README-2.md; models/fields-auto-template.md; models/fields.md; models/readme.md; models/fields-auto.md; old/models.md; old/old r.md; forms/readme.md; forms/all-fields-form.md; templates/tags/quickform.md,docs/trim/forms/fields.md
Function,trim.forms.fields,file,Yes,README-3.md; apps.md; trim-beacon.md; markdown.md; README-4.md; theming/readme.md; urls/functions.md; urls/readme.md; models/fields.md; models/fields-auto.md; old/models.md; old/readme-short.md; forms/all-fields-form.md; views/files-up-down.md; research/trim-docs.md; research/trim more.md; research/themes.md; research/trim bundle.md; research/trim-scripts.md; templates/tags/css-js-tag.md,docs/trim/forms/fields.md
Function,trim.forms.fields,file_path,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,files,Yes,README-3.md; apps.md; readme.md; README-4.md; theming/readme.md; urls/readme.md; models/fields.md; old/models.md; old/urls.md; old/views.md; forms/all-fields-form.md; research/trim-docs.md; templates/tags/css-js-tag.md,docs/trim/forms/fields.md
Function,trim.forms.fields,float,Yes,models/fields-auto.md; forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,generic_ip_address,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,hidden,Yes,readme.md; widgets/hidden.md; forms/quickforms.md; forms/all-fields-form.md; templates/tags/quickform.md; frontend/js/toggle-links.md,docs/trim/forms/fields.md
Function,trim.forms.fields,hidden_chars,Yes,widgets/hidden.md; forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,image,Yes,models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md; research/trim-docs.md; templates/tags/wrap-slots.md,docs/trim/forms/fields.md
Function,trim.forms.fields,integer,Yes,models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,json,Yes,README-3.md; README-4.md; README-2.md; urls/functions.md; models/fields.md; models/fields-auto.md; old/models.md; old/urls.md; old/old r.md; forms/all-fields-form.md; views/readme.md; views/serialized.md; research/trim-beacon.md; research/trim bundle.md,docs/trim/forms/fields.md
Function,trim.forms.fields,modelchoice,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,multi_value,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,multiple_choice,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,null_boolean,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,password,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,regex,Yes,forms/all-fields-form.md; research/trim-docs.md,docs/trim/forms/fields.md
Function,trim.forms.fields,slug,Yes,urls/readme.md; models/fields.md; models/fields-auto.md; old/models.md; forms/quickforms.md; forms/all-fields-form.md; research/trim-docs.md,docs/trim/forms/fields.md
Function,trim.forms.fields,split_datetime,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,text,Yes,readme.md; README-4.md; README-2.md; models/fields-auto-template.md; models/fields.md; models/readme.md; models/fields-auto.md; old/models.md; old/old r.md; old/readme-short.md; forms/quickforms.md; forms/readme.md; forms/all-fields-form.md; research/trim-beacon.md; templates/tags/css-js-tag.md; templates/tags/strings.md; templates/tags/wrap.md; templates/tags/link/readme.md; frontend/js/toggle-links.md,docs/trim/forms/fields.md
Function,trim.forms.fields,time,Yes,README-3.md; apps.md; trim-beacon.md; README-4.md; models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md; research/trim-beacon.md,docs/trim/forms/fields.md
Function,trim.forms.fields,typed_choice,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,typed_multiple_choice,Yes,forms/all-fields-form.md,docs/trim/forms/fields.md
Function,trim.forms.fields,url,Yes,README-3.md; account.md; README-4.md; urls/functions.md; urls/readme.md; models/fields.md; models/fields-auto.md; old/models.md; old/urls.md; old/views.md; old/old r.md; old/Custom 404.md; old/readme-short.md; forms/quickforms.md; forms/all-fields-form.md; views/list-views.md; views/files-up-down.md; recipes/todo-list.md; recipes/listview.md; research/trim-docs.md; research/trim-beacon.md; templates/tags/css-js-tag.md; templates/tags/updated-params.md; templates/tags/quickform.md; templates/tags/link/readme.md; old/urls/as_templates.md,docs/trim/forms/fields.md
Function,trim.forms.fields,uuid,Yes,models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md; views/files-up-down.md,docs/trim/forms/fields.md
Class,trim.forms.list,ListForm,Yes,views/list-views.md,docs/trim/forms/list.md
Class,trim.forms.upload,FileChunkForm,No,,docs/trim/forms/upload.md
Class,trim.forms.upload,FileForm,No,,docs/trim/forms/upload.md
Class,trim.forms.upload,FilesForm,No,,docs/trim/forms/upload.md
Class,trim.forms.upload,MergeConfirmForm,No,,docs/trim/forms/upload.md
Function,trim.forms.upload,file_upload_loc,No,,docs/trim/forms/upload.md
Class,trim.forms.widgets,MultipleFileInput,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,base,Yes,markdown.md; theming/readme.md; research/themes.md; research/trim bundle.md,docs/trim/forms/widgets.md
Function,trim.forms.widgets,checkbox,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,checkboxes,No,,docs/trim/forms/widgets.md
Function,trim.forms.widgets,choice,Yes,execute.md; forms/all-fields-form.md; templates/tags/link/readme.md,docs/trim/forms/widgets.md
